lookback_window,strategy_code,strategy_name,overlap_group_unique,mean_overlap_unique,mean_overlap_hits,mean_overlap_ratio,total_signals,entered_signals,coverage,wins,losses,cancels,win_rate_total,loss_rate_total,cancel_rate_total,win_rate_entered,loss_rate_entered,hit@1,hit@2,hit@3,hit@4,net_wl,paid_waiting_rate_total,paid_waiting_rate_wait_applied,would_win_without_wait_rate_wait_applied,wait_avoided_bad_rate_paid_waiting,wait_hurt_win_rate_wait_applied
1,A,Sem Filtro,0,0.0,0.0,0.0,853,853,100.0,742,110,0,86.9871,12.8957,0.0,86.9871,12.8957,40.5627,63.4232,78.898,86.9871,632,0.0,0.0,0.0,0.0,0.0
1,A,Sem Filtro,1,1.0,1.0,0.071429,741,741,100.0,625,116,0,84.3455,15.6545,0.0,84.3455,15.6545,35.4926,57.3549,73.8192,84.3455,509,0.0,0.0,0.0,0.0,0.0
2,A,Sem Filtro,0,0.0,0.0,0.0,475,475,100.0,404,70,0,85.0526,14.7368,0.0,85.0526,14.7368,37.6842,61.4737,76.4211,85.0526,334,0.0,0.0,0.0,0.0,0.0
2,A,Sem Filtro,1,1.0,1.038694,0.071429,827,827,100.0,718,109,0,86.8198,13.1802,0.0,86.8198,13.1802,39.9033,60.4595,76.9045,86.8198,609,0.0,0.0,0.0,0.0,0.0
2,A,Sem Filtro,2,2.0,2.0,0.142857,292,292,100.0,245,47,0,83.9041,16.0959,0.0,83.9041,16.0959,34.2466,59.589,75.6849,83.9041,198,0.0,0.0,0.0,0.0,0.0
3,A,Sem Filtro,0,0.0,0.0,0.0,274,274,100.0,234,39,0,85.4015,14.2336,0.0,85.4015,14.2336,33.9416,58.7591,74.8175,85.4015,195,0.0,0.0,0.0,0.0,0.0
3,A,Sem Filtro,1,1.0,1.073964,0.071429,676,676,100.0,579,97,0,85.6509,14.3491,0.0,85.6509,14.3491,41.1243,61.9822,77.071,85.6509,482,0.0,0.0,0.0,0.0,0.0
3,A,Sem Filtro,2,2.0,2.065543,0.142857,534,534,100.0,466,68,0,87.2659,12.7341,0.0,87.2659,12.7341,36.5169,58.8015,77.1536,87.2659,398,0.0,0.0,0.0,0.0,0.0
3,A,Sem Filtro,3+,3.0,3.0,0.214286,110,110,100.0,88,22,0,80.0,20.0,0.0,80.0,20.0,39.0909,65.4545,74.5455,80.0,66,0.0,0.0,0.0,0.0,0.0
4,A,Sem Filtro,0,0.0,0.0,0.0,143,143,100.0,123,19,0,86.014,13.2867,0.0,86.014,13.2867,30.7692,53.1469,73.4266,86.014,104,0.0,0.0,0.0,0.0,0.0
4,A,Sem Filtro,1,1.0,1.105372,0.071429,484,484,100.0,412,72,0,85.124,14.876,0.0,85.124,14.876,42.3554,65.0826,77.2727,85.124,340,0.0,0.0,0.0,0.0,0.0
4,A,Sem Filtro,2,2.0,2.099187,0.142857,615,615,100.0,531,84,0,86.3415,13.6585,0.0,86.3415,13.6585,34.9593,57.2358,76.2602,86.3415,447,0.0,0.0,0.0,0.0,0.0
4,A,Sem Filtro,3+,3.082386,3.173295,0.220171,352,352,100.0,301,51,0,85.5114,14.4886,0.0,85.5114,14.4886,41.1932,63.3523,77.2727,85.5114,250,0.0,0.0,0.0,0.0,0.0
5,A,Sem Filtro,0,0.0,0.0,0.0,70,70,100.0,57,13,0,81.4286,18.5714,0.0,81.4286,18.5714,24.2857,48.5714,68.5714,81.4286,44,0.0,0.0,0.0,0.0,0.0
5,A,Sem Filtro,1,1.0,1.130814,0.071429,344,344,100.0,294,49,0,85.4651,14.2442,0.0,85.4651,14.2442,40.407,63.0814,76.4535,85.4651,245,0.0,0.0,0.0,0.0,0.0
5,A,Sem Filtro,2,2.0,2.159292,0.142857,565,565,100.0,492,73,0,87.0796,12.9204,0.0,87.0796,12.9204,40.885,62.6549,77.3451,87.0796,419,0.0,0.0,0.0,0.0,0.0
5,A,Sem Filtro,3+,3.261789,3.414634,0.232985,615,615,100.0,524,91,0,85.2033,14.7967,0.0,85.2033,14.7967,36.0976,58.6992,76.748,85.2033,433,0.0,0.0,0.0,0.0,0.0
6,A,Sem Filtro,0,0.0,0.0,0.0,38,38,100.0,30,8,0,78.9474,21.0526,0.0,78.9474,21.0526,26.3158,50.0,71.0526,78.9474,22,0.0,0.0,0.0,0.0,0.0
6,A,Sem Filtro,1,1.0,1.151659,0.071429,211,211,100.0,181,29,0,85.782,13.7441,0.0,85.782,13.7441,39.8104,64.9289,75.8294,85.782,152,0.0,0.0,0.0,0.0,0.0
6,A,Sem Filtro,2,2.0,2.200409,0.142857,489,489,100.0,423,66,0,86.5031,13.4969,0.0,86.5031,13.4969,41.3088,60.9407,76.2781,86.5031,357,0.0,0.0,0.0,0.0,0.0
6,A,Sem Filtro,3+,3.439252,3.699766,0.245661,856,856,100.0,733,123,0,85.6308,14.3692,0.0,85.6308,14.3692,36.5654,59.8131,77.1028,85.6308,610,0.0,0.0,0.0,0.0,0.0
8,A,Sem Filtro,0,0.0,0.0,0.0,7,7,100.0,5,2,0,71.4286,28.5714,0.0,71.4286,28.5714,14.2857,42.8571,71.4286,71.4286,3,0.0,0.0,0.0,0.0,0.0
8,A,Sem Filtro,1,1.0,1.153846,0.071429,65,65,100.0,57,7,0,87.6923,10.7692,0.0,87.6923,10.7692,33.8462,66.1538,80.0,87.6923,50,0.0,0.0,0.0,0.0,0.0
8,A,Sem Filtro,2,2.0,2.395062,0.142857,243,243,100.0,209,34,0,86.0082,13.9918,0.0,86.0082,13.9918,42.7984,62.1399,74.8971,86.0082,175,0.0,0.0,0.0,0.0,0.0
8,A,Sem Filtro,3+,3.968726,4.419077,0.28348,1279,1279,100.0,1096,183,0,85.6919,14.3081,0.0,85.6919,14.3081,37.6857,60.1251,76.7005,85.6919,913,0.0,0.0,0.0,0.0,0.0
10,A,Sem Filtro,0,0.0,0.0,0.0,1,1,100.0,1,0,0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,1,0.0,0.0,0.0,0.0,0.0
10,A,Sem Filtro,1,1.0,1.137931,0.071429,29,29,100.0,24,5,0,82.7586,17.2414,0.0,82.7586,17.2414,34.4828,55.1724,72.4138,82.7586,19,0.0,0.0,0.0,0.0,0.0
10,A,Sem Filtro,2,2.0,2.454545,0.142857,132,132,100.0,113,18,0,85.6061,13.6364,0.0,85.6061,13.6364,40.9091,62.1212,75.7576,85.6061,95,0.0,0.0,0.0,0.0,0.0
10,A,Sem Filtro,3+,4.48743,5.186453,0.320531,1432,1432,100.0,1229,203,0,85.824,14.176,0.0,85.824,14.176,38.0587,60.5447,76.676,85.824,1026,0.0,0.0,0.0,0.0,0.0
